game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,9,7,2,1
1,0,10,7,3,1
2,0,7,7,0,1
3,0,9,7,2,1
4,0,9,7,2,1
5,0,11,7,4,1
6,0,9,7,2,1
7,0,11,7,4,1
8,0,11,7,4,1
9,0,9,7,2,1
10,0,10,7,3,1
11,0,11,7,4,1
12,0,11,7,4,1
13,0,9,7,2,1
14,0,7,7,0,1
15,0,11,7,4,1
16,0,11,7,4,1
17,0,12,7,5,1
18,0,10,7,3,1
19,0,9,7,2,1
20,0,10,7,3,1
21,0,10,7,3,1
22,0,8,7,1,1
23,0,7,7,0,1
24,0,12,7,5,1
25,0,9,7,2,1
26,0,9,7,2,1
27,0,11,7,4,1
28,0,7,7,0,1
29,0,11,7,4,1
30,0,12,7,5,1
31,0,8,7,1,1
32,0,10,7,3,1
33,0,8,7,1,1
34,0,13,7,6,1
35,0,9,7,2,1
36,0,9,7,2,1
37,0,9,7,2,1
38,0,9,7,2,1
39,0,8,7,1,1
40,0,9,7,2,1
41,0,12,7,5,1
42,0,9,7,2,1
43,0,11,7,4,1
44,0,11,7,4,1
45,0,10,7,3,1
46,0,10,7,3,1
47,0,11,7,4,1
48,0,7,7,0,1
49,0,9,7,2,1
50,0,11,7,4,1
51,0,10,7,3,1
52,0,11,7,4,1
53,0,9,7,2,1
54,0,10,7,3,1
55,0,9,7,2,1
56,0,7,7,0,1
57,0,12,7,5,1
58,0,11,4,7,0
59,0,9,7,2,1
60,0,8,7,1,1
61,0,7,7,0,1
62,0,9,7,2,1
63,0,13,6,7,0
64,0,9,7,2,1
65,0,13,6,7,0
66,0,10,7,3,1
67,0,12,7,5,1
68,0,13,7,6,1
69,0,9,7,2,1
70,0,11,7,4,1
71,0,11,7,4,1
72,0,11,7,4,1
73,0,13,7,6,1
74,0,9,7,2,1
75,0,10,7,3,1
76,0,9,7,2,1
77,0,7,7,0,1
78,0,12,7,5,1
79,0,11,7,4,1
80,0,11,7,4,1
81,0,11,7,4,1
82,0,7,7,0,1
83,0,10,7,3,1
84,0,11,7,4,1
85,0,8,7,1,1
86,0,8,7,1,1
87,0,7,7,0,1
88,0,8,7,1,1
89,0,8,7,1,1
90,0,8,7,1,1
91,0,8,7,1,1
92,0,11,4,7,0
93,0,9,7,2,1
94,0,11,7,4,1
95,0,9,7,2,1
96,0,13,7,6,1
97,0,12,7,5,1
98,0,13,7,6,1
99,0,13,7,6,1
100,0,11,7,4,1
101,0,10,7,3,1
102,0,10,7,3,1
103,0,11,7,4,1
104,0,13,7,6,1
105,0,9,7,2,1
106,0,10,7,3,1
107,0,9,7,2,1
108,0,12,5,7,0
109,0,9,7,2,1
110,0,11,7,4,1
111,0,11,7,4,1
112,0,8,7,1,1
113,0,11,7,4,1
114,0,10,7,3,1
115,0,11,7,4,1
116,0,9,7,2,1
117,0,11,7,4,1
118,0,12,7,5,1
119,0,12,7,5,1
120,0,11,7,4,1
121,0,11,7,4,1
122,0,11,7,4,1
123,0,12,7,5,1
124,0,13,7,6,1
125,0,9,7,2,1
126,0,9,7,2,1
127,0,9,7,2,1
0,1,10,7,3,1
1,1,9,7,2,1
2,1,12,7,5,1
3,1,9,7,2,1
4,1,9,7,2,1
5,1,8,7,1,1
6,1,7,7,0,1
7,1,10,7,3,1
8,1,13,6,7,0
9,1,12,7,5,1
10,1,12,7,5,1
11,1,10,7,3,1
12,1,12,7,5,1
13,1,8,7,1,1
14,1,9,7,2,1
15,1,11,7,4,1
16,1,12,7,5,1
17,1,10,7,3,1
18,1,13,6,7,0
