game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,10,3,7,0
1,0,7,7,0,1
2,0,9,7,2,1
3,0,9,7,2,1
4,0,13,7,6,1
5,0,12,7,5,1
6,0,9,7,2,1
7,0,10,7,3,1
8,0,12,7,5,1
9,0,8,7,1,1
10,0,10,7,3,1
11,0,7,7,0,1
12,0,8,7,1,1
13,0,9,7,2,1
14,0,8,7,1,1
15,0,11,7,4,1
16,0,13,6,7,0
17,0,9,7,2,1
18,0,8,7,1,1
19,0,13,6,7,0
20,0,8,7,1,1
21,0,11,7,4,1
22,0,8,7,1,1
23,0,10,7,3,1
24,0,11,7,4,1
25,0,9,7,2,1
26,0,13,7,6,1
27,0,13,7,6,1
28,0,11,4,7,0
29,0,11,7,4,1
30,0,13,7,6,1
31,0,10,7,3,1
32,0,9,7,2,1
33,0,10,7,3,1
34,0,9,7,2,1
35,0,12,7,5,1
36,0,9,7,2,1
37,0,8,7,1,1
38,0,11,7,4,1
39,0,10,7,3,1
40,0,11,7,4,1
41,0,12,7,5,1
42,0,11,7,4,1
43,0,10,7,3,1
44,0,9,7,2,1
45,0,9,7,2,1
46,0,12,5,7,0
47,0,13,7,6,1
48,0,9,7,2,1
49,0,9,7,2,1
50,0,10,7,3,1
51,0,11,4,7,0
52,0,13,7,6,1
53,0,11,7,4,1
54,0,8,7,1,1
55,0,11,7,4,1
56,0,11,7,4,1
57,0,12,7,5,1
58,0,9,7,2,1
59,0,10,7,3,1
60,0,8,7,1,1
61,0,9,7,2,1
62,0,8,7,1,1
63,0,9,7,2,1
64,0,13,7,6,1
65,0,11,7,4,1
66,0,13,7,6,1
67,0,9,7,2,1
68,0,8,7,1,1
69,0,12,7,5,1
70,0,9,7,2,1
71,0,9,2,7,0
72,0,12,7,5,1
73,0,9,7,2,1
74,0,10,7,3,1
75,0,13,7,6,1
76,0,13,7,6,1
77,0,10,7,3,1
78,0,10,7,3,1
79,0,7,7,0,1
80,0,10,7,3,1
81,0,10,7,3,1
82,0,9,7,2,1
83,0,9,7,2,1
84,0,11,7,4,1
85,0,11,7,4,1
86,0,11,7,4,1
87,0,9,7,2,1
88,0,10,7,3,1
89,0,11,7,4,1
90,0,11,7,4,1
91,0,13,7,6,1
92,0,9,7,2,1
93,0,11,7,4,1
94,0,11,7,4,1
95,0,9,7,2,1
96,0,9,7,2,1
97,0,13,7,6,1
98,0,11,7,4,1
99,0,10,7,3,1
100,0,8,7,1,1
101,0,10,7,3,1
102,0,12,7,5,1
